ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
1,Theft, 1500 09/01/2013, 1500 09/01/2013," 93 Lipman Drive , NJ",40.196492,-74.030440, Open Case
2,Suspicious Drugs, 1855 09/01/2013, 1855 09/01/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Unfounded
3,Theft, 1958 09/01/2013 , 0300 08/28/2013," 186 Davidson Road, NJ",40.528240,-74.465099, Open Case
4,Suspicious Drugs, 2109 09/01/2013, 2109 09/01/2013," 34 Biel Road East, NJ",40.478444,-74.432011, Unfounded
5,Suspicious Drugs, 2120 09/01/2013, 2120 09/01/2013," 51 Labor Center Way, NJ",40.481442,-74.427251, Unfounded
6,Suspicious Drugs, 2243 09/01/2013, 2243 09/01/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Unfounded
7,Suspicious Drugs, 0044 09/02/2013, 0044 09/02/2013," 590 George Street, NJ",40.503713,-74.448559, Unfounded
8,Sexual Contact/Criminal Mischief/Harassment, 0545 09/02/2013, 0210-0229 09/02/2013," 78 College Ave, NJ",40.500692,-74.449353, Open Case
9,Criminal Mischief, 0606 09/02/2013, 0140-0440 09/02/2013," 125 College Ave, NJ",40.502633,-74.451276, Open Case
10,Criminal Mischief, 0859 09/02/2013, 0859 09/02/2013," 619 George Street, NJ",40.502712,-74.446724, Open Case
11,Suspicious Drugs, 1727 09/02/2013, 1727 09/02/2013," 42 Bevier Road, NJ",40.524602,-74.461202, Unfounded
12,Burglary/Theft, 1756 09/02/2013, 08/22 - 09/02/2013," 618 Marvin Lane, NJ",40.519860,-74.454844, Open Case
13,Theft, 2115 09/01/2013, 1100-1400 09/01/2013," 581 Taylor Road, NJ",39.594496,-75.084295, Open Case
14,Taking Means of Conveyance/ Riding w/o consent, 0159 09/03/2013, 0159 09/03/2013," Metlars Ln and So. Randolphville Rd. , NJ",40.535969,-74.445960, Arrest
15,Theft, 1643 09/03/2013, 1600-1625 09/03/2013," 100 Somerset Street, NJ",40.496271,-74.445874, Open Case
16,Harassment, 1818 09/03/2013, 1630 09/03/2013," 90 Davidson Road, NJ",39.731554,-75.309164, Open Case
17,Suspicious Drugs, 2017 09/03/2013, 2017 09/03/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
18,Suspicious Drugs, 2159 09/03/2013, 2159 09/03/2013," 113 College Ave, NJ",40.502328,-74.450974, Unfounded
19,Possession CDS/Possession Paraphernalia, 2250 09/03/2013, 2250 09/03/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Arrest
20,Harassment, 0116 09/04/2013, 0116 09/04/2013," 26 College Ave, NJ",40.498821,-74.447568, Open Case
21,Simple Assault, 0500 09/04/2013, 0330 09/04/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
22,Criminal Mischief, 1157 09/04/2013, 1830 09/03 - 0840 09/04/2013," 195 College Ave, NJ",40.505905,-74.454606, Open Case
23,Theft, 1245 09/04/2013, 1200 05/12 - 1200 09/04/2013," 510 George Street, NJ",40.500805,-74.445716, Open Case
24,Theft, 1509 09/04/2013, 2115-2310 09/02/2013," Dudley and Biel Roads, NJ",40.480063,-74.432236, Open Case
25,Criminal Mischief, 1553 09/04/2013, 1730 2007 09/03/2013," 97 Avenue E, NJ",40.656963,-74.121212, Open Case
26,Theft/Criminal Mischief, 1704 09/04/2013, 0840-1700 09/04/2013," 125 Patterson Street, NJ",41.006030,-74.043710, Open Case
27,Aggravated Assault, 1957 09/04/2013, 1957 09/04/2013," 86 Davidson Road, NJ",40.526792,-74.461968, Unfounded
28,Arrest on Warrant, 2207 09/04/2013, 2034 09/04/2013," 23 Avenue E, NJ",40.654783,-74.124154, Arrest
29,Suspicious Drugs, 0107 09/05/2013, 0107 09/05/2013," 173 Ryders lane, NJ",40.460438,-74.425476, Unfounded
30,Theft, 0943 09/05/2013, 1900-2300 09/03/2013," 41 Brett Road, NJ",40.520619,-74.452713, Open Case
31,Theft, 1257 09/05/2013, 2230 09/04 - 0900 09/05/2013," 122 College Ave, NJ",40.502540,-74.451270, Open Case
32,Theft, 1046 09/05/2013, 1046 09/05/2013," 85 George Street, NJ",40.486167,-74.433759, Open Case
33,Harassment(DV), 1224 09/05/2013, 0200 09/05/2013," 28 Gibbons Circle, NJ",40.752967,-74.434740, Open Case
34, Theft, 1154 09/05/2013, 1700 05/31 - 1100 08/22/2013," Hospital Road, NJ",39.425620,-75.336884, Open Case
35,Theft, 1421 09/05/2013, 1200 09/03 - 1700 09/04/2013," 400 Ryders Lane, NJ",40.441821,-74.425825, Open Case
36,Theft, 0332 09/06/2013, 1900-2000 09/06/2013," 125 College Ave, NJ",40.502633,-74.451276, Open Case
37,Suspicious Drugs, 2326 09/05/2013, 2326 09/05/2013," 39 Biel Road West, NJ",40.478942,-74.432261, Unfounded
38,Criminal Mischief, 0519 09/06/2013, 2325 09/05/2013," 590 George Street, NJ",40.503713,-74.448559, Open Case
39,Theft, 0121 09/06/2013, 0000-0100 09/06/2013," 104 Easton Ave, NJ",40.498809,-74.451653, Open Case
40,Theft, 0408 09/06/2013, 0408 09/06/2013," 11 Union Street, NJ",40.711369,-74.070854, Arrest
41,Criminal Mischief, 0513 09/06/2013, 1330 09/05 - 0510 -9/06/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
42,Criminal Mischief, 0944 09/06/2013, 0944 09/06/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
43,Criminal Mischief, 1425 09/06/2013, 1415 09/06/2013," 106 Nichol Ave, NJ",40.481577,-74.440811, Open Case
44,Theft, 1859 09/06/2013, 1859 09/06/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Open Case
45,Theft, 2015 09/06/2013, 2345 09/05 - 0700 09/06/2013," 125 College Ave, NJ",40.502633,-74.451276, Open Case
46,Criminal Mischief/Disorderly Conduct, 2136 09/06/2013, 2136 09/06/2013," 33 Commercial Ave, NJ",40.488267,-74.438912, Open Case
47,Criminal Mischief, 2309 09/06/2013, 2155 09/06/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Open Case
48,Suspicious Drugs, 2214 09/06/2013, 2214 09/06/2013," 36 Jones Ave, NJ",40.484718,-74.440108, Unfounded
49,Possession CDS/Possession Paraphernalia, 0354 09/07/2013, 2321 09/06/2013," 619 George Street, NJ",40.502712,-74.446724, Arrest
50,Suspicious Drugs, 2344 09/06/2013, 2344 09/06/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Unfounded
51,Suspicious Drugs, 0249 09/07/2013, 0249 09/07/2013," 45 Biel Road E, NJ",40.478364,-74.431345, Unfounded
52,Harassment, 0311 09/07/2013, 0311 09/07/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Open Case
53,Criminal Mischief, 1040 09/07/2013, 09/06 - 09/07/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
54,Underage Possession of Alcohol,9/7/2013,9/7/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Ordinances Issued
55,Theft, 1000 09/07/2013, 1200 09/07/2013," 44 College Ave, NJ",40.500638,-74.449298, Open Case
56,Suspicious Drugs, 1324 09/07/2013, 1324 09/07/2013," 39 Biel Road West, NJ",40.478942,-74.432261, Unfounded
57,Suspicious Drugs, 1727 09/07/2013, 1727 09/07/2013," 15 Suydam Street, NJ",40.484025,-74.439244, Unfounded
58,Criminal Mischief Attempt to Cause Bodily Injury, 0353 09/08/2013, 1400 09/07/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Open Case
59,Criminal Trespass/Disorderly Conduct, 0527 09/08/2013, 2350 09/07/2013," 590 George Street, NJ",40.503713,-74.448559, Open Case
60,Suspicious Drugs, 0018 09/08/2013, 0018 09/08/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Unfounded
61,Robbery, 0118 09/08/2013, 0118 09/08/2013," Easton and Prosper, NJ",40.499392,-74.452864, TOTNBPD
62,Simple Assault, 0446 09/08/2013, 0210 09/08/2013," Sicard and Senior Sts., NJ",40.503022,-74.454361, Open Case
63,Harassment, 0625 09/08/2013, 0250 09/08/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
